step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
87,74608,1392,0.01892368331805041,0.9375,0.9375,,,,,,,,,
88,75392,1408,0.020398531636947916,0.9375,0.9375,,,,,,,,,
89,76176,1424,0.02042407159186041,1.0,1.0,0.021829206926504408,1.0,1.0,,,,,,
90,76832,1440,0.028685881090981642,1.0,1.0,,,,,,,,,
91,77744,1456,0.018183486274974063,0.9375,0.9375,,,,,,,,,
92,78400,1472,0.02419376642290081,0.875,0.875,,,,,,,,,
93,79312,1488,0.016543816690374503,1.0,1.0,,,,,,,,,
94,80224,1504,0.019407824107567778,1.0,1.0,,,,,,,,,
95,81008,1520,0.020044830303145317,1.0,1.0,,,,,,,,,
96,81792,1536,0.020067540327662906,1.0,1.0,,,,,,,,,
97,82704,1552,0.02011987254078804,1.0,1.0,0.021712091466524343,1.0,1.0,,,,,,
98,83744,1568,0.02543238650609936,0.875,0.875,,,,,,,,,
99,84912,1584,0.017829930287018545,0.9375,0.9375,,,,,,,,,
100,85824,1600,0.017246110227494164,1.0,1.0,,,,,,,,,
101,86736,1616,0.02109670829153369,0.9375,0.9375,,,,,,,,,
102,87776,1632,0.01901046907749901,0.875,0.875,,,,,,,,,
103,88688,1648,0.02295511569313086,0.9375,0.9375,,,,,,,,,
104,89728,1664,0.018699207823647156,0.875,0.875,,,,,,,,,
105,90512,1680,0.024025931174931733,1.0,1.0,0.027422701810442054,1.0,1.0,,,,,,
106,91424,1696,0.021554982552880315,1.0,1.0,,,,,,,,,
107,92464,1712,0.017415971233041602,1.0,1.0,,,,,,,,,
108,93376,1728,0.020812522196370732,1.0,1.0,,,,,,,,,
109,94288,1744,0.018205295218018107,1.0,1.0,,,,,,,,,
110,95072,1760,0.02115768659650712,1.0,1.0,,,,,,,,,
111,96112,1776,0.019212722541462314,0.9375,0.9375,,,,,,,,,
112,97024,1792,0.019429746948893416,1.0,1.0,,,,,,,,,
113,97936,1808,0.016348044425999433,1.0,1.0,0.018932070318542174,1.0,1.0,,,,,,
114,98720,1824,0.025527679093090682,0.9375,0.9375,,,,,,,,,
115,99504,1840,0.021585621245256637,1.0,1.0,,,,,,,,,
116,100288,1856,0.020774811124644355,1.0,1.0,,,,,,,,,
117,101328,1872,0.019968778689320742,1.0,1.0,,,,,,,,,
118,102240,1888,0.02064484398104534,0.9375,0.9375,,,,,,,,,
119,103152,1904,0.022787933089265217,1.0,1.0,,,,,,,,,
120,104192,1920,0.021223168073186117,0.9375,0.9375,,,,,,,,,
121,105232,1936,0.016254553016505045,1.0,1.0,0.016495920957380197,1.0,1.0,,,,,,
122,106272,1952,0.015238882832095442,1.0,1.0,,,,,,,,,
123,107056,1968,0.019773815878346566,1.0,1.0,,,,,,,,,
124,107840,1984,0.0202671984136623,1.0,1.0,,,,,,,,,
125,108752,2000,0.021417401796275694,1.0,1.0,,,,,,,,,
126,109664,2016,0.018988493721058798,1.0,1.0,,,,,,,,,
127,110448,2032,0.02145557893765802,1.0,1.0,,,,,,,,,
128,111360,2048,0.022736988041890855,1.0,1.0,,,,,,,,,
129,112016,2064,0.024964217252923845,0.9375,0.9375,0.022573700126470482,1.0,1.0,,,,,,
130,112672,2080,0.021346989182184188,1.0,1.0,,,,,,,,,
131,113584,2096,0.01701724830105312,1.0,1.0,,,,,,,,,
132,114496,2112,0.01796395717329241,1.0,1.0,,,,,,,,,
133,115408,2128,0.020438133013789668,1.0,1.0,,,,,,,,,
134,116448,2144,0.018631586791665312,0.9375,0.9375,,,,,,,,,
135,117360,2160,0.024475494649533563,0.9375,0.9375,,,,,,,,,
136,118144,2176,0.024560676461699887,0.9375,0.9375,,,,,,,,,
137,119312,2192,0.018220925090512943,1.0,1.0,0.01887448026339257,1.0,1.0,,,,,,
138,119968,2208,0.02455952733740014,0.9375,0.9375,,,,,,,,,
139,120752,2224,0.01747837508582961,1.0,1.0,,,,,,,,,
140,121664,2240,0.019834424723650435,0.9375,0.9375,,,,,,,,,
141,122320,2256,0.01967193848773968,1.0,1.0,,,,,,,,,
142,122976,2272,0.01984847919695858,1.0,1.0,,,,,,,,,
143,123888,2288,0.02032867172438565,0.9375,0.9375,,,,,,,,,
144,124672,2304,0.020447781419976916,1.0,1.0,,,,,,,,,
145,125584,2320,0.020458888745230136,1.0,1.0,0.020495771821191888,1.0,1.0,,,,,,
146,126624,2336,0.015091062737814128,0.9375,0.9375,,,,,,,,,
147,127536,2352,0.02101741377296711,0.9375,0.9375,,,,,,,,,
148,128576,2368,0.020071463697646553,1.0,1.0,,,,,,,,,
149,129488,2384,0.022422229115548233,0.9375,0.9375,,,,,,,,,
150,130400,2400,0.022171518528309984,0.9375,0.9375,,,,,,,,,
151,131312,2416,0.019723035894176066,1.0,1.0,,,,,,,,,
152,132096,2432,0.023367862001623507,1.0,1.0,,,,,,,,,
153,133008,2448,0.017324805808417686,0.9375,0.9375,0.02024131717630477,1.0,1.0,,,,,,
154,134048,2464,0.016321262466668145,1.0,1.0,,,,,,,,,
155,134960,2480,0.019451335021307647,1.0,1.0,,,,,,,,,
156,135872,2496,0.02242403840704973,1.0,1.0,,,,,,,,,
157,136912,2512,0.01915368575360219,0.9375,0.9375,,,,,,,,,
158,137696,2528,0.020595458916509414,0.9375,0.9375,,,,,,,,,
159,138736,2544,0.014197194364103893,0.875,0.875,,,,,,,,,
160,139520,2560,0.02318259088927486,1.0,1.0,,,,,,,,,
161,140432,2576,0.015557006904002395,1.0,1.0,0.024220835593342604,1.0,1.0,,,,,,
162,141344,2592,0.014698667505202009,1.0,1.0,,,,,,,,,
163,142256,2608,0.02153275693514583,1.0,1.0,,,,,,,,,
164,143296,2624,0.016408113740878038,0.9375,0.9375,,,,,,,,,
165,144080,2640,0.01904114340269113,0.9375,0.9375,,,,,,,,,
166,145120,2656,0.016441915973809954,1.0,1.0,,,,,,,,,
167,146160,2672,0.015364181755960545,1.0,1.0,,,,,,,,,
168,147072,2688,0.013836931073751006,1.0,1.0,,,,,,,,,
169,147984,2704,0.017992574012574942,0.9375,0.9375,0.01848585530948185,1.0,1.0,,,,,,
170,149024,2720,0.01776994368424312,1.0,1.0,,,,,,,,,
171,149936,2736,0.015156046013830098,0.9375,0.9375,,,,,,,,,
172,150720,2752,0.0158218014508437,1.0,1.0,,,,,,,,,
173,151760,2768,0.01903715494168921,1.0,1.0,,,,,,,,,
174,152672,2784,0.020645060805652846,0.9375,0.9375,,,,,,,,,
175,153456,2800,0.018486834512075345,0.9375,0.9375,,,,,,,,,
176,154368,2816,0.02004267034303601,0.875,0.875,,,,,,,,,
177,155280,2832,0.015033970370076465,1.0,1.0,0.016819191299361286,1.0,1.0,,,,,,
178,156192,2848,0.017206234273801004,1.0,1.0,,,,,,,,,
179,156976,2864,0.025450581901845907,0.9375,0.9375,,,,,,,,,
180,157760,2880,0.01910710313428581,1.0,1.0,,,,,,,,,
181,158544,2896,0.018027715147364533,1.0,1.0,,,,,,,,,
182,159456,2912,0.015294788273965227,1.0,1.0,,,,,,,,,
183,160240,2928,0.015443495947257212,1.0,1.0,,,,,,,,,
184,160896,2944,0.027093806932977714,0.8125,0.8125,,,,,,,,,
185,161936,2960,0.014052872186546779,0.875,0.875,0.018718404104802827,1.0,1.0,,,,,,
186,162592,2976,0.025154570392365717,1.0,1.0,,,,,,,,,
187,163376,2992,0.01875632747845316,0.9375,0.9375,,,,,,,,,
188,164288,3008,0.016969814292417267,1.0,1.0,,,,,,,,,
189,165328,3024,0.01666261913299053,0.9375,0.9375,,,,,,,,,
190,166112,3040,0.019051882921621657,1.0,1.0,,,,,,,,,
191,166896,3056,0.020715723360570638,1.0,1.0,,,,,,,,,
192,167680,3072,0.020149638432994072,1.0,1.0,,,,,,,,,
193,168720,3088,0.016198454240930006,1.0,1.0,0.019882375974266977,1.0,1.0,,,,,,
194,169632,3104,0.018020827282076164,1.0,1.0,,,,,,,,,
195,170672,3120,0.014063043949695386,0.9375,0.9375,,,,,,,,,
196,171840,3136,0.011983521443728225,1.0,1.0,,,,,,,,,
197,172880,3152,0.016010499404699202,1.0,1.0,,,,,,,,,
198,173792,3168,0.01579267715150958,1.0,1.0,,,,,,,,,
199,174576,3184,0.019667294849524904,1.0,1.0,,,,,,,,,
200,175488,3200,0.020923884705770692,0.9375,0.9375,,,,,,,,,
201,176528,3216,0.018101276737595526,1.0,1.0,0.018740878906701255,1.0,1.0,,,,,,
202,177696,3232,0.016103548268945615,0.9375,0.9375,,,,,,,,,
203,178608,3248,0.015148790128485289,1.0,1.0,,,,,,,,,
204,179520,3264,0.015817273285332313,1.0,1.0,,,,,,,,,
205,180176,3280,0.024383006022908375,0.9375,0.9375,,,,,,,,,
206,180960,3296,0.02105810853863886,1.0,1.0,,,,,,,,,
207,181616,3312,0.020565635226504127,0.9375,0.9375,,,,,,,,,
208,182400,3328,0.015998277395350063,1.0,1.0,,,,,,,,,
209,183184,3344,0.019546610062180506,0.9375,0.9375,0.020645019120543114,1.0,1.0,,,,,,
210,183968,3360,0.0212083263753675,1.0,1.0,,,,,,,,,
211,184880,3376,0.016590453404733127,1.0,1.0,,,,,,,,,
212,186048,3392,0.01379971211574836,1.0,1.0,,,,,,,,,
213,186832,3408,0.025256888166732095,0.875,0.875,,,,,,,,,
214,187744,3424,0.013018668319937855,1.0,1.0,,,,,,,,,
215,188528,3440,0.01775783537456315,1.0,1.0,,,,,,,,,
216,189440,3456,0.02615762261759755,0.9375,0.9375,,,,,,,,,
217,190352,3472,0.016006430550533617,1.0,1.0,0.016765976942283867,1.0,1.0,,,,,,
218,191392,3488,0.014377759952315043,1.0,1.0,,,,,,,,,
219,192304,3504,0.0190159117067846,0.9375,0.9375,,,,,,,,,
220,193088,3520,0.015524513939050168,1.0,1.0,,,,,,,,,
221,194128,3536,0.01805544664889226,0.9375,0.9375,,,,,,,,,
222,194784,3552,0.019889883578898662,0.9375,0.9375,,,,,,,,,
223,195696,3568,0.01630106350101219,0.875,0.875,,,,,,,,,
224,196608,3584,0.018785672537568906,0.9375,0.9375,,,,,,,,,
225,197392,3600,0.01761995865410578,1.0,1.0,0.015382922155506872,1.0,1.0,,,,,,
226,198304,3616,0.01586304007678401,1.0,1.0,,,,,,,,,
227,199216,3632,0.017167997726174427,1.0,1.0,,,,,,,,,
228,200256,3648,0.015276882944356203,1.0,1.0,,,,,,,,,
229,201168,3664,0.016243270007713754,0.9375,0.9375,,,,,,,,,
230,201952,3680,0.01700457589408567,1.0,1.0,,,,,,,,,
231,202864,3696,0.017873869938659612,0.9375,0.9375,,,,,,,,,
232,203776,3712,0.017985889877645603,1.0,1.0,,,,,,,,,
233,204816,3728,0.013788925195315754,1.0,1.0,0.015555865260778644,1.0,1.0,,,,,,
234,205728,3744,0.01787799207600821,1.0,1.0,,,,,,,,,
235,206640,3760,0.017908615327562855,1.0,1.0,,,,,,,,,
236,207552,3776,0.017566035874910346,1.0,1.0,,,,,,,,,
237,208464,3792,0.016536591891664735,0.875,0.875,,,,,,,,,
238,209376,3808,0.01467930525852223,1.0,1.0,,,,,,,,,
239,210416,3824,0.015975534810347653,1.0,1.0,,,,,,,,,
240,211200,3840,0.02008464410088095,1.0,1.0,,,,,,,,,
241,212112,3856,0.01588984700217549,1.0,1.0,0.01876654444155747,0.9375,0.9375,,,,,,
242,212896,3872,0.01644394906785389,1.0,1.0,,,,,,,,,
243,214064,3888,0.013811336952066995,1.0,1.0,,,,,,,,,
244,214976,3904,0.01261486395018616,1.0,1.0,,,,,,,,,
245,215760,3920,0.01865519521488788,0.875,0.875,,,,,,,,,
246,216928,3936,0.014291927510170757,1.0,1.0,,,,,,,,,
247,217712,3952,0.02345479454008607,0.9375,0.9375,,,,,,,,,
248,218752,3968,0.015734210076651323,1.0,1.0,,,,,,,,,
249,219664,3984,0.01647724497289541,1.0,1.0,0.02016696802945887,1.0,1.0,,,,,,
