step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,656,16,0.5356222383744595,0.0,0.0,0.37358546272131427,0.0,0.0,,,,,,
2,1440,32,0.42535438621836247,0.0,0.0,,,,,,,,,
3,2096,48,0.4721882534906115,0.0,0.0,,,,,,,,,
4,2880,64,0.415461589859097,0.0,0.0,,,,,,,,,
5,3920,80,0.30398260402722516,0.0,0.0,,,,,,,,,
6,4832,96,0.3435934565364411,0.0,0.0,,,,,,,,,
7,5616,112,0.3584104428171105,0.0,0.0,,,,,,,,,
8,6400,128,0.36221426074929247,0.0,0.0,,,,,,,,,
9,7056,144,0.40912305216965794,0.0,0.0,0.27730483581487386,0.0,0.0,,,,,,
10,8096,160,0.24221652316296188,0.0,0.0,,,,,,,,,
11,8880,176,0.28181820099753047,0.0,0.0,,,,,,,,,
12,9664,192,0.2641327284424646,0.0,0.0,,,,,,,,,
13,10704,208,0.19790131234035724,0.0,0.0,,,,,,,,,
14,11616,224,0.21222968999761585,0.0,0.0,,,,,,,,,
15,12528,240,0.18737324077577083,0.0,0.0,,,,,,,,,
16,13184,256,0.2427381080164787,0.0,0.0,,,,,,,,,
17,14096,272,0.1566744759328526,0.0,0.0,0.15106084148400958,0.0,0.0,,,,,,
18,15008,288,0.1413096638768853,0.0,0.0,,,,,,,,,
19,16176,304,0.10290885518178787,0.0,0.0,,,,,,,,,
20,17216,320,0.0878214417596604,0.0,0.0,,,,,,,,,
21,18256,336,0.07557942375130977,0.375,0.375,,,,,,,,,
22,18912,352,0.08183229241074878,0.5,0.5,,,,,,,,,
23,19696,368,0.06201009294083984,0.5,0.5,,,,,,,,,
24,20736,384,0.03890225743716101,0.6875,0.6875,,,,,,,,,
25,21648,400,0.03619306997654592,0.4375,0.4375,0.03455860174768726,0.6875,0.6875,,,,,,
26,22304,416,0.045311298813694514,0.5625,0.5625,,,,,,,,,
27,23088,432,0.03769415837458951,0.75,0.75,,,,,,,,,
