step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
87,75760,1392,0.016554638963400807,1.0,1.0,,,,,,,,,
88,76928,1408,0.017347189129287573,0.8125,0.8125,,,,,,,,,
89,77968,1424,0.017520733607902912,1.0,1.0,0.02481848278183709,0.9375,0.9375,,,,,,
90,78752,1440,0.021365519570498842,1.0,1.0,,,,,,,,,
91,79664,1456,0.020302719724801525,1.0,1.0,,,,,,,,,
92,80448,1472,0.021634636624157415,0.9375,0.9375,,,,,,,,,
93,81360,1488,0.02003552980162307,1.0,1.0,,,,,,,,,
94,82144,1504,0.01821344567918042,1.0,1.0,,,,,,,,,
95,82928,1520,0.01676983377623022,0.9375,0.9375,,,,,,,,,
96,83840,1536,0.01943230720999379,1.0,1.0,,,,,,,,,
97,84624,1552,0.01910914093366121,0.9375,0.9375,0.0210007625921935,1.0,1.0,,,,,,
98,85536,1568,0.019706059037460887,1.0,1.0,,,,,,,,,
99,86448,1584,0.01676392617884825,1.0,1.0,,,,,,,,,
100,87232,1600,0.015192963349131032,1.0,1.0,,,,,,,,,
101,88016,1616,0.021318627643874304,1.0,1.0,,,,,,,,,
102,88928,1632,0.02974646553654955,0.8125,0.8125,,,,,,,,,
103,89968,1648,0.01785176343190713,1.0,1.0,,,,,,,,,
104,91008,1664,0.015356459956233264,1.0,1.0,,,,,,,,,
105,91920,1680,0.01579040616554721,1.0,1.0,0.018854506913688358,1.0,1.0,,,,,,
106,92832,1696,0.014327026380860192,1.0,1.0,,,,,,,,,
107,93744,1712,0.015968889191843638,0.9375,0.9375,,,,,,,,,
108,94528,1728,0.0206788647201059,0.875,0.875,,,,,,,,,
109,95440,1744,0.02066931726184846,1.0,1.0,,,,,,,,,
110,95968,1760,0.01740713710405771,1.0,1.0,,,,,,,,,
111,96752,1776,0.015656560611197013,1.0,1.0,,,,,,,,,
112,97664,1792,0.0182012390649522,0.9375,0.9375,,,,,,,,,
113,98576,1808,0.020088150985728657,1.0,1.0,0.0187494614377962,1.0,1.0,,,,,,
114,99360,1824,0.016339999685847036,1.0,1.0,,,,,,,,,
115,100400,1840,0.019872987938220493,1.0,1.0,,,,,,,,,
116,101568,1856,0.014136775400220862,0.9375,0.9375,,,,,,,,,
117,102352,1872,0.02181556941117359,1.0,1.0,,,,,,,,,
118,103392,1888,0.015339950639517213,1.0,1.0,,,,,,,,,
119,104176,1904,0.023490668620070963,1.0,1.0,,,,,,,,,
120,104832,1920,0.022663028922993357,0.9375,0.9375,,,,,,,,,
121,105744,1936,0.026149328992193466,0.875,0.875,0.0175959524255906,1.0,1.0,,,,,,
122,106656,1952,0.0186967047505956,1.0,1.0,,,,,,,,,
123,107568,1968,0.017433153628314487,1.0,1.0,,,,,,,,,
124,108352,1984,0.019472374286169724,1.0,1.0,,,,,,,,,
125,109264,2000,0.02430824450486268,0.9375,0.9375,,,,,,,,,
126,110048,2016,0.01809812694161413,1.0,1.0,,,,,,,,,
